x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-3.5,-3.26666666667,-3.38333333333,0,nan,nan,nan,nan,nan,0,-1
-3.26666666667,-3.03333333333,-3.15,7037,0.000125932362301,3.75586139495e-05,0.00266440387983,4.24359770308e-05,2.3141611952,2,0
-3.03333333333,-2.8,-2.91666666667,14739,1.51573139608e-05,2.7462016045e-05,0.00277035912233,3.12265923297e-05,2.43970740334,2,0
-2.8,-2.56666666667,-2.68333333333,14930,0.000180928248046,2.6685577923e-05,0.00272819332643,3.03826999604e-05,3.17501024388,2,0
-2.56666666667,-2.33333333333,-2.45,14340,0.000131392663733,2.82013414974e-05,0.00279346062296,3.176613055e-05,1.72278932423,2,0
-2.33333333333,-2.1,-2.21666666667,13895,0.000145455768307,3.10202732046e-05,0.00293829785838,3.64432365364e-05,1.40771354986,2,0
-2.1,-1.86666666667,-1.98333333333,13834,0.000125345280254,2.93246043756e-05,0.00283017128636,3.34594814369e-05,1.76934554482,2,0
-1.86666666667,-1.63333333333,-1.75,12987,0.000201567514837,3.52991576222e-05,0.00311050183434,4.27178505902e-05,1.14019124024,2,0
-1.63333333333,-1.4,-1.51666666667,12537,0.000185077858597,3.44986612872e-05,0.00303822277484,4.1641378149e-05,1.31606618477,2,0
-1.4,-1.16666666667,-1.28333333333,12513,0.000268472056564,3.95194834436e-05,0.00327906242217,5.05266229118e-05,1.25578188874,2,0
-1.16666666667,-0.933333333333,-1.05,12787,0.000306289116671,3.8005437076e-05,0.00322542583807,4.76315528181e-05,1.25373775299,2,0
-0.933333333333,-0.7,-0.816666666667,11897,0.000244445660794,4.29649922624e-05,0.00339638633642,5.70748921836e-05,1.05882446595,2,0
-0.7,-0.466666666667,-0.583333333333,12207,0.0003931157739,4.2716877058e-05,0.00338973856419,5.59945065829e-05,1.48687181501,2,0
-0.466666666667,-0.233333333333,-0.35,11810,0.000424550361289,4.60161415809e-05,0.00348712168621,6.03820308607e-05,1.24705195565,2,0
-0.233333333333,0,-0.116666666667,10732,0.000354304193916,4.46313887668e-05,0.0033509526736,5.78259698832e-05,1.85960865914,2,0
0,0.233333333333,0.116666666667,12210,0.000345065925973,4.06697293559e-05,0.00331000050959,5.2769353976e-05,1.63656903576,2,0
0.233333333333,0.466666666667,0.35,10968,0.000389832264576,4.09705394483e-05,0.0032151996963,5.14958019368e-05,1.42532729944,2,0
0.466666666667,0.7,0.583333333333,11973,0.00025428242911,3.89905484198e-05,0.00321874684982,4.9405888878e-05,1.36845121198,2,0
0.7,0.933333333333,0.816666666667,11328,0.000251776848526,3.83546452644e-05,0.00313598007577,4.72777423282e-05,1.30961990913,2,0
0.933333333333,1.16666666667,1.05,13235,0.000203794747882,3.49883569606e-05,0.00310935345479,4.28281658368e-05,1.13608015694,2,0
1.16666666667,1.4,1.28333333333,12401,0.000157081694092,3.70148189445e-05,0.00316115726698,4.59676634413e-05,1.2059419786,2,0
1.4,1.63333333333,1.51666666667,14166,0.00012743505556,3.00319253815e-05,0.00289686552429,3.50464738829e-05,1.90233474489,2,0
1.63333333333,1.86666666667,1.75,12992,0.000117583455013,2.95973438765e-05,0.00279208525263,3.37792902078e-05,2.29096934203,2,0
1.86666666667,2.1,1.98333333333,13985,7.89170101521e-05,3.01201708693e-05,0.00289064445582,3.55932047589e-05,2.14548544235,2,0
2.1,2.33333333333,2.21666666667,14699,0.000103165849834,2.68383307339e-05,0.00272916272717,3.00345502548e-05,2.02717004823,2,0
2.33333333333,2.56666666667,2.45,14797,6.60191087049e-05,2.61877173695e-05,0.00269132774146,2.89433624282e-05,2.30523609859,2,0
2.56666666667,2.8,2.68333333333,14755,0.000115011992024,2.71763596995e-05,0.00275481596745,3.03851669523e-05,1.95053881798,2,0
2.8,3.03333333333,2.91666666667,15221,2.48926686346e-05,2.51064035364e-05,0.00264134512398,2.7689684965e-05,3.09629497081,2,0
3.03333333333,3.26666666667,3.15,7280,0.000121474849539,3.52934538301e-05,0.00259292771394,3.72754419379e-05,1.21258997522,2,0
3.26666666667,3.5,3.38333333333,0,nan,nan,nan,nan,nan,0,-1
