x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,1727,8.04806552126e-05,7.53461829057e-05,0.00263841897011,8.35599026698e-05,1.32889733606,2,0
-0.8,-0.6,-0.7,1889,0.000112433026165,7.14667172235e-05,0.00263531531449,7.46824763027e-05,0.994275745474,2,0
-0.6,-0.4,-0.5,1983,5.98848504944e-05,6.54176592024e-05,0.0024957737018,6.7900324701e-05,1.99202889183,2,0
-0.4,-0.2,-0.3,2016,0.000194121296254,6.47585143039e-05,0.00247501706173,7.39536609239e-05,1.61676496399,3,0
-0.2,0,-0.1,2044,8.20556085846e-05,5.98091340282e-05,0.00231457472542,6.41747157926e-05,1.3854304563,4,0
0,0.2,0.1,1986,-5.37221491562e-06,6.73681942803e-05,0.00256722733108,7.59415885959e-05,1.37346034517,2,0
0.2,0.4,0.3,1970,-7.62668769358e-05,6.39741016155e-05,0.00244433960586,6.97811378589e-05,1.40080519153,3,0
0.4,0.6,0.5,1932,-4.16007536321e-05,6.58649964545e-05,0.00251574561818,6.82187092208e-05,0.619387041258,2,0
0.6,0.8,0.7,1843,0.000146544813985,7.15937337533e-05,0.00260293487391,8.08811864616e-05,1.46700615929,2,0
0.8,1,0.9,1701,0.000101133903701,8.55302185714e-05,0.00284850023321,9.89945359873e-05,1.27960689062,2,0
