x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,4204,-0.00766406811482,0.000228819044836,0.0122994409719,0.000246975453433,1.3387133759,4,0
-0.8,-0.6,-0.7,4672,-0.00781911155853,0.000208323045207,0.0119926413298,0.000218902213355,1.38507991235,2,0
-0.6,-0.4,-0.5,4707,-0.00790873200367,0.000210015096632,0.0119061143134,0.000211644268789,2.04418300144,3,0
-0.4,-0.2,-0.3,4744,-0.00762021426632,0.000216962354009,0.0123300502168,0.000232262429134,1.46065253775,3,0
-0.2,0,-0.1,4788,-0.00733698276011,0.000214023235822,0.0122858047125,0.000229959595093,1.45715145931,3,0
0,0.2,0.1,4646,-0.00717824038756,0.000210288912498,0.0119230245999,0.000214304134303,2.0079330246,4,0
0.2,0.4,0.3,4694,-0.00744789352599,0.000219144349287,0.0124243842466,0.000226920540418,1.60466446872,3,0
0.4,0.6,0.5,4694,-0.00775917219493,0.000206504281941,0.0116691756091,0.00021023965793,1.71215657693,3,0
0.6,0.8,0.7,4599,-0.00771004630822,0.000220819332561,0.0123958630328,0.000229843690726,1.01947649802,3,0
0.8,1,0.9,4218,-0.00817518082172,0.000245658830355,0.0128025172321,0.000243100976657,0.93841612836,2,0
