x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,3948,-0.00778390327264,0.000242333147502,0.0124263487144,0.000258689870879,1.37539535775,3,0
-0.8,-0.6,-0.7,4384,-0.00721919778313,0.000211465413175,0.011794108402,0.000218752046443,2.28349919579,3,0
-0.6,-0.4,-0.5,4578,-0.00747964337265,0.000208985482757,0.0117586121629,0.000213626921993,2.40872883742,3,0
-0.4,-0.2,-0.3,4445,-0.00750920227906,0.000224349842336,0.0122784289355,0.000235625453426,1.64637018837,3,0
-0.2,0,-0.1,4433,-0.00729810637212,0.000221495527429,0.0122230442179,0.00023611389312,1.17359802506,3,0
0,0.2,0.1,4394,-0.00709374967401,0.000216796040456,0.0120513608509,0.00023313465746,1.6270953873,4,0
0.2,0.4,0.3,4558,-0.00738458819244,0.00021960764128,0.012360180267,0.000223442215426,1.18290490044,3,0
0.4,0.6,0.5,4425,-0.00727598974678,0.000207106024813,0.0117034508301,0.000212555769411,1.84918775962,3,0
0.6,0.8,0.7,4370,-0.00727589484511,0.000216690988304,0.01203347977,0.000222460069033,1.5596825903,2,0
0.8,1,0.9,3969,-0.00745378106596,0.000239190326419,0.012479926379,0.000246424200069,1.43735602277,2,0
