x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,1742,0.00033277249216,0.000140105999228,0.00381199977373,0.000203954186084,1.29635276453,2,0
-0.8,-0.6,-0.7,1963,-6.97821834811e-05,0.000100286061267,0.00329708917191,0.000127751788411,0.558657649287,2,0
-0.6,-0.4,-0.5,2150,-6.59451235249e-05,8.76571847374e-05,0.00310793472627,0.000108181951882,1.64842502414,2,0
-0.4,-0.2,-0.3,2204,2.03186122045e-05,7.78755571573e-05,0.00291782753956,9.01856620161e-05,1.08825739819,2,0
-0.2,0,-0.1,2268,-4.66687040796e-05,8.32002878955e-05,0.00307177075169,0.000104776905593,1.23207882957,2,0
0,0.2,0.1,2172,-4.07916554489e-05,7.14634191884e-05,0.00275757795439,8.04688287999e-05,1.17069182107,2,0
0.2,0.4,0.3,2306,5.26379038163e-05,7.7936219054e-05,0.00296892141589,9.44618622865e-05,1.16273244278,2,0
0.4,0.6,0.5,2178,-8.36983292326e-05,8.915852365e-05,0.00316258152559,0.000110159752405,0.880593270575,2,0
0.6,0.8,0.7,1980,-3.43786391119e-05,0.000108341968896,0.00346041493101,0.000145903318759,0.817943807116,2,0
0.8,1,0.9,1757,-0.000117986265929,0.000132273209152,0.00371221814813,0.000197339010435,1.2332696712,2,0
