x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,3701,-0.000187981591875,5.20194769904e-05,0.0026650630804,6.0877396958e-05,2.03184051562,2,0
-0.8,-0.6,-0.7,4251,-0.00025743485605,4.50914908551e-05,0.00251172715342,5.10340114126e-05,2.20999744116,3,0
-0.6,-0.4,-0.5,4373,-0.000159387856105,3.93983678689e-05,0.00226766174529,4.22321868077e-05,2.02096907116,3,0
-0.4,-0.2,-0.3,4540,-0.000216638033155,4.17000038701e-05,0.00242877946573,4.62341722435e-05,2.87674042774,3,0
-0.2,0,-0.1,4667,-0.000249512642913,3.77290821607e-05,0.00222713057154,3.97674246573e-05,2.2445083506,3,0
0,0.2,0.1,4475,-0.000233330399081,3.83349478754e-05,0.00221315523392,4.09944991586e-05,1.84651912729,4,0
0.2,0.4,0.3,4563,-0.000183029165601,3.94031092108e-05,0.00229910164858,4.24661235327e-05,2.05208377452,4,0
0.4,0.6,0.5,4350,-0.000228573215181,4.10100425406e-05,0.00234838709797,4.63626378606e-05,2.74295765831,3,0
0.6,0.8,0.7,4220,-0.000269824475327,4.44832457085e-05,0.00248110832921,5.00636810435e-05,2.52497611289,2,0
0.8,1,0.9,3736,-7.90095628015e-05,4.91024970225e-05,0.00258176784033,5.22790657937e-05,1.13732911368,2,0
