x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,2064,-0.00797034305772,0.000389531431298,0.0136798005164,0.000399999752465,1.17094708849,3,0
-0.8,-0.6,-0.7,2072,-0.00743521091321,0.000344741717331,0.0128271725872,0.000377110117843,1.35910085355,4,0
-0.6,-0.4,-0.5,2132,-0.00707945312235,0.00035849898617,0.0132988182957,0.000383108810595,1.15046327854,2,0
-0.4,-0.2,-0.3,2051,-0.00726535495199,0.000364242820448,0.0130985133546,0.000388160169784,1.50077240699,3,0
-0.2,0,-0.1,2040,-0.00671644170483,0.000361295985734,0.0132385213227,0.000386300625917,0.71726559217,4,0
0,0.2,0.1,2026,-0.00696455505873,0.000370124829373,0.0134213932505,0.000401527744579,1.06044474657,2,0
0.2,0.4,0.3,2057,-0.00705339913095,0.000338870834918,0.0125432783538,0.000342289604628,1.08071941744,3,0
0.4,0.6,0.5,2074,-0.00707157051604,0.00035444544776,0.0129886000511,0.000391252287824,1.93148166521,2,0
0.6,0.8,0.7,2043,-0.00710296605518,0.000360966838202,0.0129693152873,0.000359411794421,1.35931694498,3,0
0.8,1,0.9,1928,-0.00745062741526,0.000372136025755,0.0132459943755,0.000403519303536,1.02012123817,2,0
