x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,21283,0.000121290398651,4.72660160881e-05,0.00424758596919,7.76664050576e-05,1.11834911957,2,0
-0.8,-0.6,-0.7,27232,7.74258532566e-05,3.43761373602e-05,0.00381438281243,4.94167606461e-05,1.36154642827,2,0
-0.6,-0.4,-0.5,32037,4.09822494323e-05,2.60143847943e-05,0.00340405076209,3.4307430002e-05,1.32893388315,2,0
-0.4,-0.2,-0.3,34316,1.97349452662e-05,2.26004520487e-05,0.00319588333935,2.79905985873e-05,1.52396900608,2,0
-0.2,0,-0.1,35359,-2.38363193917e-07,2.1900121614e-05,0.00316430046767,2.73667624531e-05,1.88314571065,2,0
0,0.2,0.1,34621,-9.7017824286e-06,2.20472778218e-05,0.00315758867537,2.71958722079e-05,1.2250317832,2,0
0.2,0.4,0.3,33975,-5.28898795784e-06,2.26693612674e-05,0.00319218613945,2.87027983059e-05,1.8151778682,2,0
0.4,0.6,0.5,31259,9.5299689835e-06,2.57055395608e-05,0.00335589588348,3.36084209096e-05,1.65277471621,2,0
0.6,0.8,0.7,27395,-5.29722024939e-05,3.40081306282e-05,0.0037972032416,4.90311055675e-05,0.983876427222,2,0
0.8,1,0.9,20747,-0.000118937309004,5.00580677711e-05,0.00435261323376,8.35588792214e-05,0.957884102232,2,0
