#: table_doi: 10.17182/hepdata.102408.v1/t173
#: name: Table 165
#: description: The elliptic flow,v_2 of $\Lambda$ and $\overline{\Lambda}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au. collisions.
#: data_file: Data44,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 11.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],11.5
#: Au+Au,${\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4935,0.019891,0.001885,-0.004717,0.004237,-0.004237,0.000695,-0.000695
0.7055,0.027101,0.001091,-0.000974,0.002601,-0.002601,0.000695,-0.000695
0.9045,0.043959,0.000994,-0.000755,0.002176,-0.002176,0.000695,-0.000695
1.1045,0.058984,0.000538,-0.000596,0.002166,-0.002166,0.000695,-0.000695
1.2955,0.073307,0.000966,-0.000471,0.002423,-0.002423,0.000695,-0.000695
1.5055,0.091892,0.00105,-0.000732,0.002891,-0.002891,0.000695,-0.000695
1.7775,0.104154,0.000927,-0.000789,0.002895,-0.002895,0.000695,-0.000695
2.1735,0.121388,0.001408,-0.001584,0.005296,-0.005296,0.000695,-0.000695
2.6305,0.140951,0.002578,-0.002309,0.009233,-0.009233,0.000695,-0.000695
0.6445,-,0,0,0,0,0,0
0.9055,-,0,0,0,0,0,0
1.1885,-,0,0,0,0,0,0
1.5805,-,0,0,0,0,0,0
2.0745,-,0,0,0,0,0,0

#: SQRT(S) [GEV],11.5
#: Au+Au,$\bar{\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4935,-,0,0,0,0,0,0
0.7055,-,0,0,0,0,0,0
0.9045,-,0,0,0,0,0,0
1.1045,-,0,0,0,0,0,0
1.2955,-,0,0,0,0,0,0
1.5055,-,0,0,0,0,0,0
1.7775,-,0,0,0,0,0,0
2.1735,-,0,0,0,0,0,0
2.6305,-,0,0,0,0,0,0
0.6445,0.019627,0.004359,-0.002378,0.008106,-0.008106,0.000695,-0.000695
0.9055,0.021284,0.001754,-0.004353,0.008282,-0.008282,0.000695,-0.000695
1.1885,0.044288,0.000948,-0.002082,0.006241,-0.006241,0.000695,-0.000695
1.5805,0.067836,0.002616,-0.003046,0.008843,-0.008843,0.000695,-0.000695
2.0745,0.104539,0.003534,-0.002502,0.013208,-0.013208,0.000695,-0.000695

