#: table_doi: 10.17182/hepdata.102408.v1/t20
#: name: Table 20
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data7,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 7.7
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],11.5
#: Au+Au,p
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.012085,0.001025,-0.000347,0.001716,-0.001716,0.000783,-0.000783
0.495,0.01559,6.6e-05,-0.000121,0.000653,-0.000653,0.000783,-0.000783
0.705,0.033429,0.000281,-0.000129,0.000559,-0.000559,0.000783,-0.000783
0.885,0.049906,0.000111,-0.000189,0.000577,-0.000577,0.000783,-0.000783
1.095,0.069033,0.000415,-0.000218,0.000665,-0.000665,0.000783,-0.000783
1.275,0.08362,0.000174,-0.000127,0.000817,-0.000817,0.000783,-0.000783
1.485,0.098999,9e-05,-5.5e-05,0.001047,-0.001047,0.000783,-0.000783
1.695,0.111464,0.000474,-0.00023,0.001394,-0.001394,0.000783,-0.000783
1.875,0.119578,0.000342,-0.000518,0.001903,-0.001903,0.000783,-0.000783
2.085,0.126679,0.000836,-0.001319,0.002545,-0.002545,0.000783,-0.000783
2.265,0.13911,0.000669,-0.000363,0.003539,-0.003539,0.000783,-0.000783
2.475,0.132912,0.001078,-0.001946,0.005075,-0.005075,0.000783,-0.000783
2.805,0.153769,0.00137,-0.001133,0.005839,-0.005839,0.000783,-0.000783
3.435,0.163517,0.008547,-0.004419,0.019923,-0.019923,0.000783,-0.000783

