#: table_doi: 10.17182/hepdata.102408.v1/t133
#: name: Table 125
#: description: The elliptic flow, v_2, of charged pions as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions
#: data_file: Data27,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,$\pi^{-}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,0.021675,0.0001,-5e-05,9.8e-05,-9.8e-05,0.00044,-0.00044
0.495,0.040813,4.7e-05,-2.4e-05,0.000121,-0.000121,0.00044,-0.00044
0.675,0.058607,4e-06,-2e-06,0.000169,-0.000169,0.00044,-0.00044
0.885,0.074643,4e-06,-2e-06,0.000243,-0.000243,0.00044,-0.00044
1.065,0.087691,8e-06,-6e-06,0.000353,-0.000353,0.00044,-0.00044
1.275,0.099187,7e-06,-4e-06,0.000513,-0.000513,0.00044,-0.00044
1.485,0.107375,2.2e-05,-1.4e-05,0.00075,-0.00075,0.00044,-0.00044
1.665,0.112568,2.5e-05,-1.5e-05,0.001092,-0.001092,0.00044,-0.00044
1.875,0.117449,6.7e-05,-0.000122,0.00155,-0.00155,0.00044,-0.00044
2.085,0.126703,0.000158,-0.000129,0.002178,-0.002178,0.00044,-0.00044
2.355,0.127578,0.000154,-0.000129,0.002491,-0.002491,0.00044,-0.00044
2.805,0.134613,4.1e-05,-5.8e-05,0.004491,-0.004491,0.00044,-0.00044
3.435,0.143151,0.000908,-0.001378,0.012078,-0.012078,0.00044,-0.00044

#: SQRT(S) [GEV],19.6
#: Au+Au,$\pi^{+}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,0.020047,9.9e-05,-5e-05,0.0001,-0.0001,0.00044,-0.00044
0.495,0.039304,4.7e-05,-2.4e-05,0.000122,-0.000122,0.00044,-0.00044
0.675,0.057117,6e-06,-3e-06,0.000169,-0.000169,0.00044,-0.00044
0.885,0.072395,2e-06,-3e-06,0.000242,-0.000242,0.00044,-0.00044
1.065,0.085656,6e-06,-9e-06,0.00035,-0.00035,0.00044,-0.00044
1.275,0.095523,8e-06,-5e-06,0.000505,-0.000505,0.00044,-0.00044
1.485,0.10471,4.5e-05,-2.4e-05,0.000737,-0.000737,0.00044,-0.00044
1.665,0.111428,4.3e-05,-4.3e-05,0.001075,-0.001075,0.00044,-0.00044
1.875,0.117715,0.000174,-7.6e-05,0.001537,-0.001537,0.00044,-0.00044
2.085,0.119919,9.2e-05,-5.4e-05,0.002158,-0.002158,0.00044,-0.00044
2.355,0.12482,0.00011,-0.000109,0.002466,-0.002466,0.00044,-0.00044
2.805,0.12953,0.000773,-0.00077,0.004406,-0.004406,0.00044,-0.00044
3.435,0.147494,0.00055,-0.000438,0.01151,-0.01151,0.00044,-0.00044

