#: table_doi: 10.17182/hepdata.102408.v1/t29
#: name: Table 29
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data10,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,$\overline{p}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.004941,0.000222,-0.000591,0.000897,-0.000897,0.000308,-0.000308
0.495,0.011448,0.000337,-0.000831,0.000372,-0.000372,0.000308,-0.000308
0.705,0.02612,0.00047,-0.00109,0.000307,-0.000307,0.000308,-0.000308
0.885,0.044932,0.000453,-0.001012,0.000308,-0.000308,0.000308,-0.000308
1.095,0.066367,0.000495,-0.001089,0.000345,-0.000345,0.000308,-0.000308
1.275,0.08605,0.000306,-0.000665,0.000415,-0.000415,0.000308,-0.000308
1.485,0.103827,0.000294,-0.00063,0.000523,-0.000523,0.000308,-0.000308
1.695,0.120229,9.6e-05,-0.000129,0.00069,-0.00069,0.000308,-0.000308
1.875,0.132341,0.000193,-0.000356,0.000822,-0.000822,0.000308,-0.000308
2.085,0.142772,0.000273,-0.000143,0.001101,-0.001101,0.000308,-0.000308
2.295,0.151479,0.000201,-0.000205,0.001481,-0.001481,0.000308,-0.000308
2.475,0.165265,0.000579,-0.000592,0.002065,-0.002065,0.000308,-0.000308
2.685,0.16601,0.000666,-0.000356,0.002918,-0.002918,0.000308,-0.000308
2.955,0.17546,0.0004,-0.000433,0.003364,-0.003364,0.000308,-0.000308
3.345,0.178903,0.001713,-0.000864,0.006846,-0.006846,0.000308,-0.000308

