#: table_doi: 10.17182/hepdata.102408.v1/t268
#: name: Table 264
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data92,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,${p}$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.007945,0.00039,-0.001181,0.000682,-0.000682,0.000415,-0.000415
0.495,0.016472,0.000306,-0.000778,0.000266,-0.000266,0.000415,-0.000415
0.705,0.032814,0.000348,-0.000802,0.000226,-0.000226,0.000415,-0.000415
0.885,0.052348,0.000336,-0.000745,0.00023,-0.00023,0.000415,-0.000415
1.095,0.072926,0.000286,-0.000625,0.000259,-0.000259,0.000425,-0.000425
1.275,0.092238,0.000163,-0.000353,0.000311,-0.000311,0.000415,-0.000415
1.485,0.109006,0.000105,-0.000225,0.000389,-0.000389,0.000415,-0.000415
1.695,0.125281,6.2e-05,-0.000153,0.002179,-0.002179,0.000415,-0.000415
1.875,0.137722,7e-05,-7.1e-05,0.000668,-0.000668,0.000415,-0.000415

#: SQRT(S) [GEV],27
#: Au+Au,$\overline{p}$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.000415,0.000608,-0.001563,0.000638,-0.000638,0.000415,-0.000415
0.495,0.009887,0.000386,-0.000918,0.000539,-0.000539,0.000415,-0.000415
0.705,0.024108,0.000348,-0.000802,0.000226,-0.000226,0.000415,-0.000415
0.885,0.041457,0.000441,-0.001004,0.00055,-0.00055,0.000415,-0.000415
1.095,0.062885,0.000444,-0.000994,0.000622,-0.000622,0.000415,-0.000415
1.275,0.081161,0.000407,-0.000901,0.000754,-0.000754,0.000415,-0.000415
1.485,0.098516,4.5e-05,-9.4e-05,0.001248,-0.001248,0.000415,-0.000415
1.695,0.11376,7.1e-05,-0.000155,0.000503,-0.000503,0.000415,-0.000415
1.875,0.125846,0.000115,-6e-05,0.001536,-0.001536,0.000415,-0.000415

