x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,1742,0.000331603229556,0.000142321660175,0.00384665444517,0.000209352145516,1.36219278543,2,0,0,0,0.00502394624786,0.00213347353592
-0.8,-0.6,-0.7,1967,-7.00323207164e-05,9.98464437452e-05,0.003291068945,0.000127724364782,0.556072469328,2,0,0,0,0.00674650334571,0.00286497618365
-0.6,-0.4,-0.5,2141,-8.13103212281e-05,8.73441735697e-05,0.00309689469339,0.000106725663381,1.60335413229,2,0,0,0,0.00484963757276,0.00205945145705
-0.4,-0.2,-0.3,2210,1.83292065925e-05,7.78124821917e-05,0.00291955018667,9.03433240463e-05,1.11459186264,2,0,0,0,0.00607738081654,0.0025808260081
-0.2,0,-0.1,2263,-6.22305818951e-05,8.27342790167e-05,0.00306052217163,0.000103753558952,1.20843993948,2,0,0,0,0.00549999987707,0.00233563489862
0,0.2,0.1,2166,-4.47400034757e-06,7.16831117096e-05,0.00275906225887,8.07356225055e-05,1.2404611851,2,0,0,0,0.00534160527276,0.00226837090338
0.2,0.4,0.3,2314,3.96976588311e-05,7.77269102044e-05,0.00296637966473,9.38963540801e-05,1.2177535103,2,0,0,0,0.00531696416687,0.00225790678917
0.4,0.6,0.5,2172,-8.71462373735e-05,8.86625286016e-05,0.00314971108654,0.000109066316876,0.841148462811,2,0,0,0,0.00602142843684,0.00255706522017
0.6,0.8,0.7,1981,-4.55543186011e-05,0.000109657284342,0.0034850757104,0.000149065381492,0.826321309475,2,0,0,0,0.00570454532704,0.00242249735352
0.8,1,0.9,1755,-0.000111807851252,0.000129971266003,0.00367861250577,0.000189654069919,1.21109723112,2,0,0,0,0.00589062486833,0.00250151805903
