x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,1734,8.55318922729e-05,7.56158833001e-05,0.00264850886553,8.38045680588e-05,1.31286474823,2,0,0,0,0.00479444433728,0.00203601304799
-0.8,-0.6,-0.7,1889,9.4529467942e-05,7.12968416356e-05,0.00263091301495,7.47327212213e-05,0.996160503333,2,0,0,0,0.00558333320854,0.00237102330617
-0.6,-0.4,-0.5,1977,6.70049641653e-05,6.5630877265e-05,0.00249924699927,6.80996700788e-05,1.95960864189,2,0,0,0,0.00392826078176,0.00166817875961
-0.4,-0.2,-0.3,2013,0.000198330121233,6.42226893294e-05,0.00246169891136,7.36607599733e-05,1.74077796975,3,0,0,0,0.00413223674974,0.00175479937778
-0.2,0,-0.1,2050,8.30231233648e-05,5.96961633241e-05,0.00231340096902,6.3728154858e-05,1.37985750501,4,0,0,0,0.00423011354181,0.0017963638244
0,0.2,0.1,1985,-1.41450770168e-06,6.81186403801e-05,0.00258665581866,7.69924742719e-05,1.3499953672,2,0,0,0,0.00408333324206,0.00173403197019
0.2,0.4,0.3,1968,-7.55715887933e-05,6.29754742625e-05,0.00241715412084,6.85637602283e-05,1.45990981335,3,0,0,0,0.00409473675058,0.00173887459438
0.4,0.6,0.5,1931,-4.61260597589e-05,6.58345510382e-05,0.00251432989198,6.75239833346e-05,0.589832098249,2,0,0,0,0.00550192295395,0.00233645155418
0.6,0.8,0.7,1846,0.000151735576445,7.23125265151e-05,0.00262024163876,8.27984620352e-05,1.52815725123,2,0,0,0,0.0037465155957,0.0015909986853
0.8,1,0.9,1693,9.46467882842e-05,8.61303154013e-05,0.00285710807062,9.98690997926e-05,1.25660070088,2,0,0,0,0.00451353266265,0.00191672084337
