x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,64456,-1.18944159099e-05,1.56714927823e-05,0.00309887833473,1.93728343863e-05,3.68156709934,2,0,0,0,0.00670288785386,0.00284645438962
-0.8,-0.6,-0.7,76938,-8.30073404671e-06,1.35672940777e-05,0.00299424043095,1.63755250536e-05,5.93699669925,2,0,0,0,0.0064179485745,0.00272545181876
-0.6,-0.4,-0.5,84963,7.10412627134e-06,1.24154343449e-05,0.00292282969135,1.45916527776e-05,5.54333358511,2,0,0,0,0.00614333717581,0.002608835095
-0.4,-0.2,-0.3,88029,2.02012529991e-05,1.17416858285e-05,0.00285335668261,1.35726829696e-05,6.89426124063,2,0,0,0,0.00609988188055,0.0025903813302
-0.2,0,-0.1,88020,-5.99410797889e-06,1.15039342708e-05,0.00281591775212,1.32319486822e-05,8.50789520546,2,0,0,0,0.0059820112683,0.0025403262899
0,0.2,0.1,86879,1.67777901217e-05,1.16989126082e-05,0.00283422433598,1.35111586566e-05,7.66237381167,2,0,0,0,0.00603880091904,0.0025644426341
0.2,0.4,0.3,87366,-4.09352734454e-06,1.19159107819e-05,0.00287291679384,1.39044682611e-05,7.38442793651,2,0,0,0,0.0059364446725,0.00252097593831
0.4,0.6,0.5,84108,-1.29729035467e-05,1.23883886178e-05,0.00290932401378,1.45144764433e-05,5.36858497624,2,0,0,0,0.00622547588613,0.00264371619367
0.6,0.8,0.7,77377,-6.03999519871e-06,1.35083506652e-05,0.00299181651445,1.62166026414e-05,5.06586415449,2,0,0,0,0.00658428556712,0.00279608863577
0.8,1,0.9,63999,-3.76451137262e-05,1.55213925221e-05,0.00307272969955,1.91031642746e-05,4.85063847282,2,0,0,0,0.00646969216308,0.00274742529767
