x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,2071,-0.000143290960506,7.47842196818e-05,0.00279549920637,8.37412543392e-05,1.05328287212,2,0,0,0,0.00512142845696,0.00217487041858
-0.8,-0.6,-0.7,2265,-0.000199068152265,6.61640696455e-05,0.00265605742272,7.15333808342e-05,1.12516775918,2,0,0,0,0.00493526774683,0.00209581524385
-0.6,-0.4,-0.5,2399,-0.000216825592044,5.64105718629e-05,0.00238230965577,6.11361490051e-05,1.4307073147,3,0,0,0,0.00445833323368,0.00189327980418
-0.4,-0.2,-0.3,2366,-2.57939186838e-05,5.78880406128e-05,0.00246473415996,6.05023967632e-05,1.44527020086,2,0,0,0,0.00406985285021,0.00172830737485
-0.2,0,-0.1,2349,-0.000148956722318,5.74124263076e-05,0.00242138502665,5.96414243195e-05,1.01951755115,3,0,0,0,0.00450841336077,0.00191454687603
0,0.2,0.1,2313,-0.000140430709153,6.35539165139e-05,0.00260907867881,7.08283931621e-05,1.04039976241,2,0,0,0,0.00425781240483,0.0018081264485
0.2,0.4,0.3,2524,-8.37677083669e-05,5.82272811073e-05,0.0025286442596,6.41340768274e-05,1.61907810765,2,0,0,0,0.00467499989551,0.00198528966382
0.4,0.6,0.5,2450,-1.8254281063e-05,5.8626312847e-05,0.00251627101794,6.17937811782e-05,1.37217487149,2,0,0,0,0.00474523798917,0.00201511703591
0.6,0.8,0.7,2334,-1.81621630181e-05,6.15563065089e-05,0.00255415951048,6.50177775399e-05,1.28537332084,2,0,0,0,0.00524531238276,0.00222747907803
0.8,1,0.9,2139,-0.000265722420045,7.01502243028e-05,0.00270151675041,8.06598662375e-05,1.26307833062,2,0,0,0,0.0051880433623,0.00220315916425
