x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,2677,0.000103389769765,0.000111156816565,0.00382485309268,0.000164086781552,1.01217111505,2,0,0,0,0.00707307676498,0.00300365914584
-0.8,-0.6,-0.7,3397,9.3084898755e-06,7.4006564776e-05,0.0032457008025,9.63866960649e-05,0.915202475648,2,0,0,0,0.00651879684677,0.00276827813684
-0.6,-0.4,-0.5,3800,-3.53647233783e-05,6.85415292924e-05,0.00320618170011,8.72643234333e-05,0.983271892342,2,0,0,0,0.00650324660789,0.0027616745584
-0.4,-0.2,-0.3,3877,-6.77494088002e-05,6.1539291656e-05,0.00302147509026,7.298397681e-05,0.989602077044,2,0,0,0,0.00637878773621,0.00270882174192
-0.2,0,-0.1,4046,-2.58593389482e-05,5.79402105011e-05,0.00294764894863,6.659771906e-05,1.26244980587,2,0,0,0,0.00601967579138,0.00255632094017
0,0.2,0.1,4090,0.000100783376422,5.31323246993e-05,0.00279910332612,5.92326383329e-05,1.19857054463,2,0,0,0,0.00625892843153,0.00265792218171
0.2,0.4,0.3,3989,-5.17697403047e-06,5.64985588816e-05,0.00288900759365,6.44992800142e-05,0.985182345615,2,0,0,0,0.00521375909722,0.00221407963139
0.4,0.6,0.5,3717,1.15112005035e-05,7.19744777628e-05,0.0032768050958,9.15497791884e-05,1.22449897137,2,0,0,0,0.00701515135835,0.00297906049052
0.6,0.8,0.7,3339,-9.14384265639e-05,8.2903819779e-05,0.00343393496968,0.000109579476504,1.36927938414,2,0,0,0,0.00557985468472,0.00236954611312
0.8,1,0.9,2744,-0.000146534041156,0.000119678428429,0.00401393259044,0.000186184359388,1.0145602442,2,0,0,0,0.00767187482852,0.00325794527051
