x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,3338,0.000124886269186,5.95636186644e-05,0.0028178506552,6.84630860903e-05,1.56295542776,2,0,0,0,0.00580882339957,0.00246678017367
-0.8,-0.6,-0.7,3923,0.000125783446977,5.33310192644e-05,0.0027708463863,5.81701824808e-05,1.07457674103,2,0,0,0,0.00533128066901,0.00226398644785
-0.6,-0.4,-0.5,4236,1.06591815157e-05,4.63000276348e-05,0.00259157443343,4.85862382461e-05,0.894149926619,2,0,0,0,0.00549999987707,0.00233563489862
-0.4,-0.2,-0.3,4206,0.000126868738981,4.6059279014e-05,0.00257596892036,4.85747277907e-05,1.09377166188,2,0,0,0,0.0048131867056,0.00204397219899
-0.2,0,-0.1,4225,7.87425874767e-05,4.71136868137e-05,0.0026114155545,5.36940609266e-05,2.13722583971,2,0,0,0,0.0044773808523,0.00190136858305
0,0.2,0.1,4239,0.00010400658147,4.51233003897e-05,0.00254630861954,4.75609215709e-05,1.27056948863,2,0,0,0,0.00483806807368,0.00205453834315
0.2,0.4,0.3,4328,5.22061073308e-05,4.54300435162e-05,0.00257374636906,4.84448441751e-05,1.25565963588,2,0,0,0,0.00522543091769,0.00221903619717
0.4,0.6,0.5,4122,1.56795175876e-05,4.85712644332e-05,0.002649018049,5.15405190308e-05,0.77935222291,2,0,0,0,0.00547536933574,0.00232517527077
0.6,0.8,0.7,3933,0.000167357843472,5.17599872554e-05,0.00271971799817,5.69639363624e-05,0.963023118549,2,0,0,0,0.00521874988335,0.00221619902312
0.8,1,0.9,3374,5.29579292025e-05,5.9456573256e-05,0.00283062226525,6.53147827629e-05,0.974491460674,2,0,0,0,0.00551298688976,0.00234114997512
