experiment_group,collision_system,energy_GeV,centrality,fit_variant,T_MeV,T_err_plus_MeV,T_err_minus_MeV,muB_MeV,muB_err_plus_MeV,muB_err_minus_MeV,muB_note,source,source_doi_or_url
SIS,A+A,2.24,central (see source refs),compiled point,54,2,2,808,5,5,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
SIS,A+A,2.32,central (see source refs),compiled point,58,4,4,792,7,7,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
SIS,A+A,2.32,central (see source refs),compiled point,50,1,1,818,15,15,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
SIS,A+A,2.32,central (see source refs),compiled point,50,1,1,810,15,15,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
SIS,A+A,2.32,central (see source refs),compiled point,52,2,2,822,15,15,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
AGS,A+A,4.86,central (see source refs),compiled point,123,5,5,558,15,15,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
AGS,A+A,4.86,central (see source refs),compiled point,119,5,5,578,15,15,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
AGS,A+A,4.86,central (see source refs),compiled point,118,3,3,554,13,13,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
SPS,A+A,6.27,central (see source refs),compiled point,136,5,5,472,14,14,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
SPS,A+A,6.27,central (see source refs),compiled point,131,5,5,467,13,13,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
SPS,A+A,7.62,central (see source refs),compiled point,144,5,5,406,19,19,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
SPS,A+A,7.62,central (see source refs),compiled point,140,3,3,414,16,16,,STAR PRC83 Fig.11 literature compilation (Ref.[22]),"10.17182/hepdata.96847.v2/t19,t20; https://www.hepdata.net/record/ins871561"
STAR (orig PRC96),Au+Au,7.7,0-5%,GCEY (Table VIII),143.8,2.7,2.7,399.8,13.3,13.3,systematic uncertainties from Table VIII,"STAR, Phys. Rev. C 96 (2017) 044904, Table VIII",10.1103/PhysRevC.96.044904
